NewOrtho 	UttGloss 	Spanish 	English 	Note 	File 
jípi á chiriká cho ke la ro ke pe tási ju rarámuri lí ba		‘ahora también sería igual, nomás que los hombres no sirven (no saben)’	'it would be the same now, except that the men are good for nothing! (they don't know how)"		in243[01_526-01_570].wav
ke pirá tási me...		'casi no'	'pretty much'		in243[01_570-01_581].wav
me chiriká náti ré tamó ko ba		‘casi no pensamos así nosotros’	'we hardly even think like that'		in243[01_591-02_009].wav
karám nuréa nésa ke pe tási mem nururíwa rikám cho jípi		nomás que ahora casi no nos mandan	'but the thing is now they hardly even command us.'		in243[02_054-02_084].wav
ke pe tási ju pa we beti we wichíwami chéti ermano ba		‘pues no, les hacemos mucho caso a los hermanos’	'well no, we obey the brothers'		in243[02_084-02_124].wav
échi birá ko ti...		‘pues ellos...’	'well they...'		in243[02_124-02_133].wav
échi riwíami ka piráriwíwa níri ré ma jípi ba?		‘a ellos les tenemos vergüenza yo creo ahora’‘pues parece que les tienen vergüenza a ellos’	'we're ashamed of them, I think now''well it seems you are ashamed of them'		in243[02_144-02_173].wav
ke pi ko wési chíri rijói aré we chabée ko ba		‘antes nadie vivía así, yo creo, no?’	'nobody used to live like this, I don't think, right?'		in243[02_173-02_196].wav
káchi ko chiriká rijói ki'á ko ba		‘antes no vivían así’	'before people didn't live like this'		in243[02_196-02_219].wav
urí		‘si’	'yes;		in243[02_320-02_330].wav
a'rí échi náa		‘y luego...’	'and then...'		in243[02_330-02_357].wav
rijé ukusáa ro, chu che timi rikám méra o...		‘cuando llovía granizo, cómo lo espantaban?’	'when it hailed, how would you scare it off?'		in243[02_357-02_389].wav
ripiyá...ripiyá birá ti lowéa ba ba...?		‘pues le meneamos (blandimos) un cuchillo’	'well we'd wave/brandish a knife at it'		in243[02_389-02_420].wav
'uhummm'ripiyá?		‘cuchillo?’'uhummm'	'knife?''uhummm'		in243[02_420-02_435].wav
pe riká lowébo rá we á...pe riká lowiría?		‘así nomás se le menea?’‘así le mueves mucho’	'you just wave it like this, that's it?''you move it around a lot, like this'		in243[02_470-02_494].wav
á we cho lowébo á...ke ni...échi oriwá ro (cho?) ke chi ko mi we je oriwáa rúi...nápu riká kúrsi rú		‘dices que le hacen mucho así, verdad?...así como una cruz’‘también le meneas mucho..sí, así le hacen’	'you say that they often do it like this, right? like a cross''you wave it a lot too...yes, that's how they do it'		in243[02_562-03_004].wav
jémi riká orábo simírimam pa		‘así le haces para que se pase’	'you do it like that to make the hail stop'		in243[03_004-03_032].wav
á isimíro ro ra...á simíro roá birá isimíta échi oriwá á ró...		‘pues si se pasa cuando le hacen eso, verdad?’‘sí, si se pasa’	'and it does stop when you do that, right?"'yes it does stop'		in243[03_032-03_079].wav
chú timi rikámi kipúa onoká échi rijé nápu riká rijé ukuméa		‘cómo le hacen para oír asi cuando va a llover granizo?’	and what do you do to hear when it is going to hail?"		in243[03_079-03_121].wav
ko chi we pe á ne anéeru ba ne...nem so'áruwa ané ru bawe nem so'árua ané ro?		‘se oye como mucho aire, verdad’‘pues si se oye bien, se oye como mucho aire’	'you hear a lot of air, right''well you can hear it well, you hear lots of air'		in243[03_121-03_170].wav
ya birá ti lowéa ripiyá paa'rí birá timi yám lowéa noká?		‘y luego le menean luego, luego el cuchillo’‘si, luego luego le meneamos el cuchillo’	'and then they wave it then, then the knife''yes, then then we wave the knife at it'		in243[03_170-03_202].wav
jummm		‘ah!’	‘ah!’		in243[03_202-03_212].wav
ke cho ra baaj, we ke namú onoká jaré ko?		‘ah, los otros no hacen nada?’‘tampoco’	'ah, the other's don't do anything?''no they don't'		in243[03_257-03_276].wav
nápu narína áa...		‘los que...’	'those who...'		in243[03_276-03_286].wav
nápu machí arénápu machiká chukú nápu riká mo ba		‘los que están sabiendo’‘los que saben’	'those who know''the ones who know'		in243[03_286-03_318].wav
échi riká rá néajjj		‘ahh!’‘así es’	‘ahh!’'that's how it is'		in243[03_318-03_349].wav
échi riká ti méela échi koéchi riká birá timi i'méa ra ré échi rijé ko ba		‘así corrían el granizo, yo creo’‘así lo corríamos eso’	'that's how you would scare off the hail, I believe''that's how we would scare it off''		in243[03_349-03_412].wav
abé simícho cho ba á we lowiría ka		‘sí pasa si le menean mucho’	'it does stop when you wave the knife at it a lot'		in243[03_490-03_526].wav
ujummmá birá simíram ka ro		‘si pasa, verdad’‘sí’	'it stops, right''yes'		in243[03_526-03_542].wav
échi ri...nápu riká nowíro, chí tim rikám méra onoká échi ko nápu riká náa...		‘así como gusanos, y eso como lo corren’	'like peas, and about how you scare it off'		in243[04_033-04_093].wav
kóaka rá, jó...jórka wichí		‘dándole de comer, haciendo un hoyo	'feeding him, digging a hole'		in243[04_119-04_148].wav
ichíriri jóruka ra ba		‘haciéndole un hoyo en el maiz (en donde está sembrado de maiz)’	'digging a hole in the corn (where the corn is sown'		in243[04_148-04_168].wav
we siorúra nowí...we nowí ki'á ko we si'ékike chi wem sía onokári échi......aj...		‘porque han de llegar mucho esos también’‘antes llegaba mucho gusano’	'because there would've been many peas growing also''yes, before many peas would grow'		in243[04_220-04_282].wav
échi kó'ara...we birá ará ko'á cho á  chapírti mané ba		‘le decimos chapírti yo creo’‘eso comen...también comen muy bien’	'we call it chapírti, I think''they eat that, and they are good to eat as well'		in243[04_311-04_339].wav
sapá achésuwa á bawe ará ko'á...?		‘comían muy bien?’‘sí, cuando le echaban la carne’	'and those were very good to eat?''yes, when they would serve it with meat'		in243[04_339-04_360].wav
bijí pirá chonokéi láro aré kóaria ka aré á ba		‘todavía hacen eso si le dieran de comer’	'they would still do that if they were to feed him'		in243[04_406-04_453].wav
ke bi ta chíbi noká jípi kowe pi narína ke tási kóariam ka jípi ko ba?		‘nomás que ahora no le dan de comer’‘no, ahora no hacemos nada’	'but now they don't feed him'no, now we don't do anything'		in243[04_453-04_501].wav
pe á chabé pi jónsa riwéero échi kó'aram ko, ke chao?		‘ya hace mucho que dejaron eso de darle de comer, o no?’	'it's been a long time since they dropped that feeding stuff, hasn't it been?'		in243[04_501-04_553].wav
ne ko ke prá riwáka cho we na'í ko kó'ariachi cho échi		‘yo aqui no vi eso cuando le daban de comer’	'I didn't get to see that here, when they would feed him'		in243[05_021-05_050].wav
ke m rewá?ke tási riwáki échi		‘eso no lo vi’‘ah, no lo viste?’	'I didn't get to see that''ah, you didn't get to see it?'		in243[05_050-05_068].wav
we chi kom kówa onokíwi ki'á ko		‘antes le daban mucho de comer’	'they used to feed him a lot, before'		in243[05_068-05_092].wav
aj...chimím na'róa síri mí mukí yúa nápi ni yúa yéna		‘cuando me case allá con la mujer que ando’'ah!'	'when I got married over there to the woman I'm with"'ah!'		in243[05_142-05_166].wav
nn tió...		‘sí’	'yes'		in243[05_166-05_176].wav
kó'ario ba...échi riká birá káo...a'rí écho ná birá ni ko ritéi nijé ko nápu riká we a'rám...we arám omáwa nokiwá échi nápu riká we ará a wikám bajía nokó......chotása		‘ahi fue donde vi que hacían la fiesta muy bien, que la hacían muy bien, bailaban muy bien para tomar...cuando empezaban’‘cuando le daban de comer...ah, así es...’	'it was there that I saw them throwing the celebration properly, they were doing it very well, they would dance well to drink...when the were starting''when they would feed him...ah, exactly'		in243[05_176-05_255].wav
échi riká birá ko ke ki'á ko		‘así era antes’	'that's how it used to be'		in243[05_255-05_271].wav
a'rí chijónsa birá ko n ritéa íniri nápu riká náa		‘entoncs veía así como...’	'so I saw how...'		in243[05_271-05_296].wav
jími...jími námm...		'por ahí'	'around there...'		in243[05_322-05_348].wav
nápo námi jáwa ré échi ichí		'donde están (paradas) las siembras	'where the crops are (standing)'		in243[05_348-05_373].wav
a'rí wéri kusí cho nám...		‘ah, y haciendo unos palos largos...	'ah, and making some long sticks'		in243[05_380-05_402].wav
náru uré birá niwaká námm...		haciendo un palo largo de este fresno’	'making a long stick from that ash tree'		in243[05_402-05_424].wav
uu tú...		‘ah si’	'ah, yes'		in243[05_424-05_436].wav
...jáwa onokám ka ro?		‘los paraban, verdad?’	'you would stand them up, right?'		in243[05_436-05_446].wav
nári wisaróko		‘este sauce’	'uhh willow'		in243[05_446-05_459].wav
aj wisarówisaró ma rú ra aní?		‘ah, también sauces, verdad?’‘si, sauce’	'ah, willows too, right?''yes, willow'		in243[05_459-05_472].wav
na wisaró narína échiaj wisaró narí rú ra aní?		‘ah, era el sauce, verdad?’‘era el sauce’	'ah, it was the willow tree, right?''it was the willow tree'		in243[05_472-05_496].wav
aj...échi riká birá n ritéa íniri...mi rabó we pi na'í ko ke tási riwáka chirikámi oráa nokó		‘así vi que lo hacían en rayebó, pero aqui no lo vi que lo hacían así’ah	'that's how I saw them do it in Rayebó, but here I never saw them do it like that'ah		in243[05_496-05_543].wav
ke...we pi we cho nokowái cho chabéi ko we jípi ko...pe á?...pe á?		‘poquito?’‘si, antes hacían mucho eso, pero ahora...’	'recently?''yes, before they would do that a lot, but now...'		in243[05_543-05_571].wav
riwíwa aní échi jaré li ba ani		le tenemos vergüenza a esos otros'	'we are ashamed of those other people'		in243[06_155-06_178].wav
aj échi bél jaré we riwíira á ba		‘sí, a esos otros les tenemos mucha vergüenza’	'yes, of that we are very ashamed'		in243[06_178-06_202].wav
ke birá ko che nokée cho la ro		‘no hacen nada’	'they don't do anything'		in243[06_202-06_227].wav
pe ke pirá ke la ro...pe ke pirá ke la ro...we néo...ta ko...		‘pues no, no...’	'no they don't, no'		in243[06_227-06_258].wav
pe we neóma, we neóa ka ba		‘sí van a hablar (mal) mucho, nomás hablar’	'all they do is talk (bad) a lot, just talk'		in243[06_258-06_284].wav
pe ti chiriká nó...		‘así como...	'so that's why...'		in243[06_316-06_323].wav
uwá échi riká orániria ka banáa...chotánsa ka aré ba...		nosotros queremos empezar (fiesta)’‘si, cuando uno así quiere hacer’	'we want to start (the celebration)'yes, when one wants to do it like that'		in243[06_323-06_358].wav
rejé méram ruwáa riké échi ro chimí náa...		‘dicen que espanta el granizo ahi (en las tierras)	'they say they scare off the hail there'		in243[06_423-06_442].wav
áj...rejé pirá...rejé pirá méla échi ro...jawásua échi ró?		donde lo paran (la cruz)’‘sí, corría el granizo eso’	'where they stand it up (the cross)''yes, that would scare off the hail'		in243[06_442-06_467].wav
rakú (sakú) pirá mám...korótia oriwá...ajrakú birá úa korótiria ruwáa ro?		‘ah, si dicen que lo enredaban con palma, no?’‘así como lo cuelgan como collar en la palma (ahi en la cruz)’	'ah, they say that they would tangle it up in palms, right?'		in243[06_527-06_568].wav
aj...échi riká birá n ámm......ritéa níri mi rabó ko chi nokowá orá chabéi ko ba		‘ah, si dicen que lo enredaban con palma, no?’	'ah, they say that they would tangle it up in palms, right?'		in243[06_568-07_005].wav
pe birá ke me chabéi ju ne pe kuríwami be ju cho ne ko ba		‘no era muy antes cuando lo hacían, cuando yo todavía estaba nuevo (todavía me acuerdo)’	'it wasn't long ago that they would do that, whem I was still new (I still remember it)		in243[07_016-07_041].wav
pe kuríi birá ju á ba		‘pues si, hace poco’	'yes, recently'		in243[07_041-07_057].wav
échi riká ko nokó...échi riká nokiwái ronarína bé ni á riwáki échi rikám nokáa nokó... mi rabó ko?		‘así como yo vi eso cuando lo hacían...allá en Rayebó’‘así es, así hacían’	'just as I saw them doing it over in Rayebó''that's how it is, that's how it was done'		in243[07_057-07_107].wav
ke pe n riwáki we na'í ko		‘pero aqui no lo vi’	'but here I didn't see it'		in243[07_107-07_125].wav
aj...we ke wési aré í kojummm		‘ah, yo creo que aqui nadie’	'ah, I think that here nobody (does it anymore)'		in243[07_125-07_144].wav
tióéchi riká birá níra ré échi nowí kítara ko ba né...á birá ko...		‘pues así era yo creo, acerca de los gusanos...entonces’‘así es’	'so that's how it was, I think, about the peas...yea'		in243[07_225-07_270].wav
siném baméari níchina ké ru ke chi ko...á siné...		‘dicen que fue un año'	'they say there was a year'		in243[07_336-07_363].wav
ko ru ko chi échi nokái ke ne birá...ne ko mi ikíwa íniri nápu riká ne kabayo niráam kojácha... we ne rasíra sisáa		‘pues yo como me di cuenta que cortaban así como los caballos cuando llegaban muchas plagas, porque así me platicaron’‘así era’	'well I realized that they would get cut down as if horses (had come through) when many infestations hit, because that's what they told me'		in243[07_419-07_489].wav
pe birámi ko á kipú á riwára ré échi échi nokáachi échi nowí mo ko ba?		‘pues así como tu sí lo oíste...yo creo si lo viste cuando hacían eso los gusanos’	'well as you did hear it...I believe you saw when they would do that with the peas'		in243[07_574-08_012].wav
áchi ka we retéi ki'á ko ba		‘yo sí lo vi bien antes’	'yes I saw it clearly before'		in243[08_012-08_035].wav
aj, mi ruwéri aré ko		‘ah, yo creo que si te djo’	'ah, yes I believe he did tell you'		in243[08_079-08_094].wav
ne na anéa...pe ne akáchara anía ke ko		‘ah no...era mi abuelita la que me decía’	'ah no...it was my grandma who told me'		in243[08_094-08_121].wav
aj échi berá nokíchani ronápu nokíchini ne burito kojácha......		‘así como se oía como los burritos comiendo maiz’‘pues así se oía’	'just like it sounds when donkeys eat corn''well that's what you would hear'		in243[08_188-08_219].wav
échi nokáo ru ra chíli rona ne wérim raméria onokíni ma nía berá níi...		‘parecía que tenían dientes muy grandes’‘así le hacían’	'it seemd like they had very large teeth''that's how they would do it'		in243[08_219-08_254].wav
ke ma ti mem nururíwa  riká ma ba		‘casi no nos dicen de las fiestas’	'they hardly tell us about the celebrations'		in243[08_460-08_494].wav
kám che siméari échi chiba kasíra a'rí nápu		‘para donde se habrán ido las piernas de las chivas...’	'and where might the legs of the goats have gone?'		in243[08_520-08_549].wav
pe ti ochéram béri mutúka simíra ruái ka'ói ne bachirá ru ba		‘el viejito mi hermano se lo llevó allá para arriba’	'and my older brother took it with him up there'		in243[08_579-09_025].wav
okuá chíba ru...uríaj échi?...okuá chíba ba?		‘ah ese? dos chivas?’‘dos chivas se llevó...sí’	'oh really, two goats?''he took two goats, yes'		in243[09_025-09_055].wav
ne!		‘a poco!’	'no way'		in243[09_055-09_062].wav
a'rí chijónsa échi torí ro kám che simíara ré ko		‘y bueno ahora lo de las gallinas (los tenanches de gallinas), adónde se fueron’	'and now the deal with the tenanches for the chickens- where did they go?		in243[09_062-09_106].wav
je kuá aré mutúka iyéni échi ko ba?		‘y eso quien sabe quien lo traerá (quien es ahora tenanche)?’	'and now who knows who will bring it (who is the tenanche now?)		in243[09_137-09_171].wav
we pi naríni...ta ko chóti we pi narína ke biré arám orá oriwáam ka jípi ko ma ba?		‘aunque empiecen de todos modos no lo hacen bien ahora’	'even if they try anyway, they don't do it properly nowadays'		in243[09_171-09_225].wav
we ne ará che á...ne cherebábo lá awía á bape birá ko ne ke bajíka nakía...ne ará oláani lu wa ka re ba		‘debe ser sin tomar...si quieren hacerlo bien’‘pues bien...deben amanecer bailando’	'it should be without drinking, if they want to do it right''right...they should be dancing through the night'		in243[09_258-09_317].wav
we ne ará ichichéli bi tamó ko...chabéwara ko m ará anácho rú ke biré bajíka we siné rokó ba...ne ichichéli pi á?		‘los de antes aguantaban sin tomar toda la noche...se amanecían’‘nosotros si aguantábamos toda la noche’	'in the old days they could make it the whole night without drinking...until dawn'indeed we would endure through the night'		in243[09_516-09_577].wav
wikaráami bé ni ka ke tabé ká ka ru ba		‘yo era cantador desde antes, cuando era más joven’	'I had been a singer when I was younger'		in243[09_577-10_005].wav
pe sinibí mi ka á...?		'todo el tiempo?'	'the whole time?'		in243[10_005-10_014].wav
pe chisíkan ka á ochéri...maná n yúri iwáriri mawikaráami...mána á birámi a iyénta aré ba?		‘pues fuiste a muchas partes’‘yo así crecí cantando’	'well you went to many places''That's how I grew up, singing'		in243[10_014-10_058].wav
sumá birá á aré tu bo'ómi rayabóri...?		‘a todas partes, hasta Rayebó’	'all over the place, even to Rayebó?'		in243[10_105-10_135].wav
re'réta á komíchi amarúam ájummm...		hummm‘por los arroyos, por todas partes’	hummm'by the streams, all over the place'		in243[10_178-10_210].wav
chú kípi chémi bamíbika jónsa m chóta ikí échi nám...échi rikám sum...nám wikará...?		‘de cuantos años empezaste a cantar el yúmare’	'at what age did you start to sing the yúmare'		in243[10_210-10_270].wav
pe makói bamíbami níri á...ajjj....churú mi, pe birá makói bamíba níra ré chijónsa ko ba né...makói birá bamíba échi towí ba ané...		‘asi como el? tendrías como diez años...este niño tiene diez años’‘tenía diez años’	'like him? you would have been like ten years old...this boy is ten.''I was ten years old'		in243[10_314-10_370].wav
pe ma ni we wikaráai rá ni...ajjjaj, pe ma we á?...aj!		'si, ya muchos?'‘si, yo ya cantaba mucho’	'yes, a lot?''yes, I used to sing a lot'		in243[10_370-10_412].wav
we pe ni ka benériri cho pa we		‘a mi me enseñaron...’	'they taught me'		in243[10_412-10_445].wav
we m wenértami ke?		‘ah, te enseñaron?’	'ah, they taught you?'		in243[10_445-10_458].wav
tía roniál rewéi kuéchi ru, ke mi rewá?		‘se llamaba Ronial mi tío, de Cuechi, tú no lo viste?’	'my uncle was called Ronial, from Cuechi, did you never see him?'		in243[10_458-10_488].wav
ke birá n tási riwáka échi ba ané		‘no, nunca lo vi’	'No, I never saw him'		in243[10_488-10_503].wav
échi bér áéchi birá chi riwéera rá ro, pe birá ni ruwéeri nápi...		‘es ese que dicen que vivía en Rukubíchi’‘ahi vivía’	'It's the one who people say used to live in Rukubichi''Indeed he lived there'		in243[10_517-10_548].wav
échi ná ayásiki...rukubíchi bitéera rái échi ru?		‘es ese que dicen que vivía en Rukubíchi’‘ahi vivía’	'It's the one who people say used to live in Rukubichi''Indeed he lived there'		in243[10_548-10_576].wav
mi bo'óri nápi Krispín bité ri'rína mi ne peréi awía ki'áechi na birá á ayása rái?...aj ne piré awía?		ahí se estaban (vivían)? ‘ah, ahí nomás bailaban?’‘ahi donde vivía Crispín, ahí abajo bailaban siempre’	'ah. they were (lived) down there? 'ah, they would just dance down there?''Over where Crispín used to live, they were always dancing down there'		in243[10_576-11_036].wav
we mi chóta ósi chem Rodrigaaj...		ah‘empezaba mucho el señor Rodrigo’	ah'Mr Rodrigo would start it a lot' (??)		in243[11_036-11_066].wav
we chóta...ujummmwe chóta?...ejj!		‘empezaba mucho?’‘empezaba mucho?, si'	'He would start it a lot?''He would start it a lot, yes'		in243[11_066-11_090].wav
wem napabúa ósi sunú		‘juntaba mucho maiz’	'he would gather a lot of corn'		in243[11_090-11_114].wav
napabúka be ko manaría ki'á ko ba		‘antes se juntaba para hacer tesgüino’	'before it would be gathered to make the tesgüino'		in243[11_122-11_147].wav
ajjj		ahhh	ahhh		in243[11_147-11_153].wav
aj...binéri ba?		ah	ah		in243[11_208-11_219].wav
pe a riká be ni, kem riwéra níri ma benésa ko		‘ya, ya no tenía vergüenza cuando aprendí’	'I wasn't ashamed yet when I learned'		in243[11_219-11_245].wav
pe a riká ke		‘asi era, ya no’	'Right, not yet'		in243[11_245-11_251].wav
ajaaa...		ahaaa	ahaaa		in243[11_251-11_261].wav
jummm		hummm	hummm		in243[11_261-11_277].wav
a'rí mo ro ke wési benéri ko?		‘y entonces tu no le has enseñado a nadie?’	'so then you yourself haven't taught anybody else?'		in243[11_277-11_308].wav
ke á biráni benérira ró, ke mo'áamra kúruwi ko		‘pues sí, nomás que no les entra a los niños (no aprenden, no les entra en la cabeza)’	'well sure, but the thing is that it doesn't get through to the kids (they don't learn)'		in243[11_308-11_338].wav
ke tási mo'áa?		'no aprenden?'	'they don't learn?'		in243[11_338-11_347].wav
pe ya aré áa?		‘pronto, yo creo’	'quickly, I think'		in243[11_412-11_421].wav
ujummmoj?		oh?uhummm	oh?		in243[11_421-11_433].wav
nijé onorá bitérichi ma wem...		‘y en casa de mi papá fuiste a cantar muchas veces...’	'and you came to my dad's house many times to sing'		in243[11_538-11_558].wav
urí, á ne wisá suníki...a we ará ke chabéi ko...jípi ko káchi biré mi mo'inára ju pa		‘si, fui (terminé muchos cantos) muchas veces...antes si cantaba muy bien, ahora no puedo subir, no siento fuerzas para gritar recio’	'Yes, I went (performed many songs) many times. I sang well before, now I can't raise my voice, I don't have the strength to yell'		in243[11_558-12_018].wav
échi riká íniri tió		‘así era’	'that's how it was'		in243[12_131-12_150].wav
kimá... ne anári che  chém Bentúra úa roni ne anári simíba nirá íniri 		‘cantaban igualito’‘tu te igualabas bien con Ventura’	'you sang about the same''you were a good match for Ventura'		in243[12_150-12_198].wav
ne t anári ke ájummm		hummm‘eramos iguales de cantar’	hummm'we were equal in singing ability'		in243[12_198-12_215].wav
jummmne anári birá ni niráa íniri we birá ni		humm			in243[12_215-12_234].wav
aminábi wikámi re ba anís...		‘se va a ir perdiendo más’	'and it will continue to be lost further'		in243[12_433-12_453].wav
ów, aminábi ko...ówa aminá ke itérimi ré wikaráami aminá ko bama kinána ko ba ni...		‘ya después’‘si, después ya no va a haber cantador’	'afterwards' (??)'yes, and after that there won't be any singers anymore'		in243[12_453-12_501].wav
ma birá ke me rijóolsiam ka jípi		‘ya casi no viven ahora (se están acabando los cantadores)’	'there are hardly any singers alive now (the singers are running out)		in243[12_501-12_521].wav
pe mó biné...pe ém pi birá ínila aré nápu riká...		‘nomás tu...nomás ustedes eran’	'it was just you...just you guys		in243[12_572-13_004].wav
échi roniáli rewéami wéli cho wikaráami kewéli cho nápu riká mo cho á		‘también muy grande, así también como tu?’‘ese que se llamaba Ronial también era muy buen cantador (cantaba muy recio)’	'he was also very big, like you?''that one called Ronial was also a good singer (he had a strong voice)'		in243[13_033-13_070].wav
kí(ti) la kom chiriká bené pa?		‘por eso aprendiste así’	'that's why you learned like that'		in243[13_104-13_115].wav
a'rí échi riká birá ma birá ti ará simári échi ko a'rí chijónsa échi náa		‘y eso ya pasamos y entonces eso de..’	'let's move on from that to this, then'		in243[13_176-13_224].wav
échi iká miláriami ro, chi riká na milária iká ko? ke mi tási ikíwi?		‘y eso del aire, cómo lo corren, no sabes?’	'and about the aire, how did you used to scare it off, don't you know?"		in243[13_224-13_267].wav
ke pirá...		'pues no'	'well no'		in243[13_267-13_278].wav
ko chi we pirá pe kó'aka bi ká ruwáa ro		dicen que nomás es dándole de comer’	'they say it's just by feeding him'		in243[13_278-13_306].wav
kó'aka, píri kó'aria échi ko?		‘ah, dándole de comer? y que le dan de comer a ese?’	'ah, by feeding him? and what do you feed him?		in243[13_306-13_320].wav
échim ko'á isimí échi iká ko ba		'eso es lo que come el aire?’	'that's what the air eats?'		in243[13_409-13_424].wav
échi ko'ó ruru ba melábo berá aré repá rabó bi ko awiwáa ba		‘si eso es lo que come para correrlo, pero eso lo bailan arriba en el cerro’	'yes, that's what it eats to get it moving, but that dance is done up on the hill'		in243[13_424-13_465].wav
ripá rabó awiwáa?		'lo bailan arriba en el cerro?'	'they perform the dance on top of the hill?"		in243[13_465-13_474].wav
ripá rabó pré mi jémi ripá rabó chu'áchi pa a'rá ra ba		‘si, así como allá arriba en aquel cero en la orila’	'yes, like over there up on the edge of that hill over there'		in243[13_474-13_511].wav
ná ko awiwáa ro (cho?) écho ná arí ko á we		‘ah, ahí le bailan?’‘si, ahí es donde le bailan’	'ah, that's where they dance for him?''yes, that's where they dance for him'		in243[13_511-13_541].wav
jummm...a'rí échi jaré cho ro nápu riká je manía aníi ru		‘y eso otro así como dicen’	'and another thing, as they say,'		in243[13_575-14_021].wav
ne pe ruwéri échi ko ke birá ni machí ba ácha wichíari ju nápu riká ná		‘eso a mi me dijeron, no se si será cierto, así como...’	'this is what I was told, I don't know if it's true, like..."		in243[14_021-14_061].wav
je manía achaní jarée...ramueli anía ba....		‘asi dicen unos, como vacilando’	'this is what they say, joking around'		in243[14_061-14_093].wav
aj, échi anía....échi birá, chu ko á áchi ko melária ré chíri, ke ke lárua aréripá rabó simiká owémi  kosíki m anía achaní		‘dicen: “ve allá arriba al cerro a apuntarle la cola’‘ah, así dicen, quien sabe si lo correrán así, no es cierto, yo creo’	'they say: 'go up there on the hill and kick him in the backside/tail(?)''ah, that's what they say, who knows if they will actually get it moving that way, it's not true, I think'		in243[14_093-14_163].wav
...chanía achaní jaréo		‘asi dicen unos	'that's what some say'		in243[14_163-14_173].wav
pe échi aníami ju anáuri ko		‘así dicen los de mucho antes'	'that's what people from a long time ago say'		in243[14_211-14_232].wav
échi aníami ke ki'áwami ko ro we chikána owémi kíri ripá rabó...		‘ve y apúntale con las piernas abiertas allá arriba en el cerro’'así decían los de antes’ (risas)	'go get him when his legs are spread up there on top of the hill.' (??)'that's what people from before say' (laughter)		in243[14_259-14_310].wav
ayéencho ro		‘también’	'also'		in243[14_450-14_464].wav
ke machíi re jípi ko ilá kó'awa cho échi iká ba (ajora no saben darle de comer nopales al aire)		‘ahora no saben yo creo darles de comer nopales al aire’	'now they dont know, I think, how to feed cactus pads to the air'		in243[14_504-14_532].wav
á birá kó'awi ré jípi cho bijí jaréo		‘a lo mejor ahora unos sí le dan comida todavía	'maybe there are a few who do still feed him"		in243[14_570-14_592].wav
yén che kó'ariam ju pe á ko we níma we choruwá ka cheti chíbi nokáa ba		‘yo creo que sí le dan de comer, si le hacemos eso, nomás que no hacemos nada’	'I think they do feed him, if we did that for him, except that we don't do anything' (??)		in243[15_008-15_056].wav
ayéna...ko chi á birá tamí ikaníbinima ruyá ruwáa roko á yóam ruwá itiwéra échi iká ro...maní aníchina chabée ro jaré		‘porque dicen que si se enoja en veces el aire...así decían unos antes’‘si, dicen que si, que dijo nos iba a volar’	'because they say that the wind gets angry sometimes...that's what some would say before''yes, they say so, that itwould send us flying'		in243[15_056-15_125].wav
ko ti manía mi rochéachi rikíniri		‘que no dicen que se bajó ahi en Rochéachi’	'don't they say the he came down in Rochéachi’		in243[15_125-15_145].wav
échi aniwái to aní		así decían, verdad?’	'they used to say that, did they?'		in243[15_145-15_159].wav
chanía birá aní ro mi biráni bo'óri ruwéki jaré ne chabé naparí		‘así decían, yo les dije a unos allá arriba cuando...’(tos)	'that's what they would say, I told a few of them up there when..."(cough)		in243[15_159-15_203].wav
rochéachi rikíinla rá nijé anéi (dicen que bayó en Rochecaji)		‘dicen que bajó en Rochecahi’	'they say he came down in Rochecahi’		in243[15_264-15_281].wav
kó'a ba anémi		‘denle de comer, dile’	'feed him, tell them!'		in243[15_281-15_297].wav
ajaaya ikírpa ruá kó'awa n anéi, ko'nára rá churukí n anéi che ni (dicen que jay que apurarnos de darle cmida, que quiere comer páyaro, les diye)		dicen que hay que apurarnos de darle comida, porque dicen que quiere comer pájaro, les dije’ahaa	'they say we have to hurry up and feed him, because they say he wants to eat bird, I told them.ahaa		in243[15_297-15_327].wav
aj churukí birá áo, náta noká úmi jémi (transcripción incierta)		‘ah, si, pájaros, que los andaban correteando unos aqui’	'ah yes, birds, some of which would run around here' (?)		in243[15_327-15_359].wav
pe ke...pe ke séariwe pe á náata júma nokéro ke...ke pe tási...		‘lo andában siguiendo’‘y no los alcanzaron?’	'they would follow him around on foot''and they never got them?'		in243[15_359-15_390].wav
chí ra nokári chíri ke be ni ko si iyéniki cho		‘quien sabe que harían, yo no anduve esa vez	'who knows what they were doing, I wasn't there that time'		in243[15_390-15_413].wav
kem...kemi ko sí yénia'rí ne ko		(no translation given)‘ah, no anduviste?’	(no translation given)'ah, you didn't walk?'		in243[15_413-15_429].wav
o, we tékiri úmi		‘ya andaban muy borrachos	'yes, they'd walk very drunk'		in243[15_460-15_471].wav
ajaa		aha	'aha'		in243[15_513-15_526].wav
ká che pe kúchi tékiri bim		‘es que nomás los borrachos los que los pusimos eso de darles maiz’	'the thing was that we had the drunk men offer the corn'		in243[15_526-15_545].wav
aj échi tékuri járiri?jáwa nokárami échi nápi ti sunúum áa nokée ru		‘es que nomás los borrachos los que los pusimos eso de darles maiz’‘ah, ellos andaban borrachos (pusieron a los borrachos)?’	'the thing was that we had the drunk men offer the corn'ah, they walked drunk (they chose the drunk ones)?'		in243[15_545-15_594].wav
